User ID,User Level,Timestamp,Inspection Type,Total Quantity,Correct Orientation,Wrong Orientation,Inspection Type,Decoded Batch Quantity,Decoded Box Quantity,Accumulated Batch Quantity,Overall Result,Messages,Remarks,Approved By
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,,,,0,,,0,0,0,,,,,,,,
,,,,,,,0,,,0,0,0,,,,,,,,
,,,,,,,0,,,0,0,0,,,,,,,,
,,,,,,,0,,,0,0,0,,,,,,,,
,,,,,,,0,,,0,0,0,,,,,,,,
,,,,,,,0,,,0,0,0,,,,,,,,
,,,,,,,0,,,0,0,0,,,,,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
,,,,0,,,,0,0,0,,,,
